frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
50,1.667,9001,7,truck,0.327,641.5,163.4,719.9,246.6,680.7,205.0,0.0,0.0,0.0,0.0
61,2.033,9002,0,person,0.558,1037.0,193.2,1104.7,337.1,1070.8,265.2,0.0,0.0,0.0,0.0
62,2.067,16,0,person,0.402,1032.5,193.9,1100.6,338.3,1066.5,266.1,0.0,0.0,0.0,0.0
86,2.867,9003,0,person,0.414,1008.7,327.9,1144.0,583.3,1076.4,455.6,0.0,0.0,0.0,0.0
87,2.9,17,0,person,0.524,1003.5,329.1,1138.2,583.2,1070.9,456.1,0.0,0.0,0.0,0.0
88,2.933,17,0,person,0.546,997.2,332.3,1132.9,588.2,1065.1,460.3,-5.81,4.11,7.12,4.11
89,2.967,17,0,person,0.629,991.1,332.8,1127.3,589.4,1059.2,461.1,-5.86,0.85,5.92,-3.26
90,3.0,17,0,person,0.445,981.3,330.4,1117.3,586.4,1049.3,458.4,-9.92,-2.72,10.29,-3.57
91,3.033,17,0,person,0.485,969.4,327.7,1107.7,586.9,1038.6,457.3,-10.72,-1.11,10.78,1.61
92,3.067,17,0,person,0.418,968.3,325.8,1110.5,588.4,1039.4,457.1,0.83,-0.15,0.84,0.96
92,3.067,20,37,surfboard,0.335,539.8,400.1,840.5,553.1,690.1,476.6,0.0,0.0,0.0,0.0
93,3.1,17,0,person,0.414,946.8,332.9,1086.4,589.7,1016.6,461.3,-22.79,4.17,23.17,4.32
94,3.133,17,0,person,0.52,930.8,291.6,1100.7,598.0,1015.7,444.8,-0.87,-16.5,16.53,-20.67
95,3.167,17,0,person,0.611,919.1,236.6,1122.0,601.8,1020.5,419.2,4.82,-25.58,26.03,-9.08
99,3.3,9004,0,person,0.312,685.5,245.9,786.0,356.5,735.7,301.2,0.0,0.0,0.0,0.0
100,3.333,24,0,person,0.478,685.0,243.5,786.0,354.8,735.5,299.1,0.0,0.0,0.0,0.0
101,3.367,24,0,person,0.42,683.8,241.5,785.3,353.5,734.6,297.5,-0.94,-1.6,1.86,-1.6
102,3.4,24,0,person,0.446,683.0,235.8,788.2,352.1,735.6,294.0,1.04,-3.54,3.68,-1.93
103,3.433,24,0,person,0.502,682.4,227.0,794.2,351.3,738.3,289.2,2.64,-4.82,5.5,-1.28
104,3.467,17,0,person,0.475,850.1,252.0,1012.0,550.1,931.1,401.1,-9.94,-2.02,10.14,2.62
105,3.5,17,0,person,0.443,848.3,253.0,1006.1,550.1,927.2,401.5,-3.86,0.47,3.89,2.48
108,3.6,17,0,person,0.394,854.1,256.0,1004.0,546.2,929.1,401.1,0.61,-0.14,0.63,-0.2
109,3.633,17,0,person,0.447,858.4,258.4,1002.0,543.4,930.2,400.9,1.12,-0.21,1.14,-0.08
110,3.667,17,0,person,0.499,859.8,259.9,1000.6,544.0,930.2,401.9,0.05,1.03,1.03,1.24
111,3.7,17,0,person,0.545,853.6,261.5,995.9,553.2,924.8,407.3,-5.45,5.37,7.65,4.34
112,3.733,17,0,person,0.599,852.0,265.4,988.9,549.8,920.4,407.6,-4.33,0.25,4.34,-5.12
113,3.767,17,0,person,0.627,847.5,272.1,984.0,559.4,915.8,415.7,-4.69,8.15,9.4,7.9
114,3.8,17,0,person,0.537,846.0,277.9,979.4,564.4,912.7,421.1,-3.04,5.4,6.19,-2.75
115,3.833,17,0,person,0.62,842.2,276.9,976.0,568.2,909.1,422.5,-3.62,1.41,3.88,-3.98
116,3.867,17,0,person,0.721,837.7,271.5,975.1,573.0,906.4,422.2,-2.69,-0.28,2.7,-1.7
117,3.9,17,0,person,0.656,835.0,281.5,969.2,576.8,902.1,429.1,-4.32,6.88,8.13,7.17
118,3.933,17,0,person,0.656,830.3,292.2,960.2,581.6,895.3,436.9,-6.82,7.79,10.35,0.91
119,3.967,17,0,person,0.756,826.8,298.3,952.5,582.5,889.6,440.4,-5.64,3.5,6.64,-4.29
120,4.0,17,0,person,0.753,823.5,301.4,946.2,583.9,884.9,442.6,-4.77,2.24,5.27,-1.26
121,4.033,17,0,person,0.731,822.2,302.0,941.6,582.3,881.9,442.2,-2.96,-0.47,3.0,-2.72
122,4.067,17,0,person,0.743,822.1,301.3,938.2,578.2,880.1,439.7,-1.76,-2.45,3.02,-1.98
123,4.1,17,0,person,0.595,820.0,297.6,934.4,573.7,877.2,435.6,-2.98,-4.08,5.05,-1.63
124,4.133,17,0,person,0.487,821.4,292.7,924.4,540.6,872.9,416.6,-4.27,-19.02,19.5,-14.94
125,4.167,17,0,person,0.465,816.5,292.0,917.5,536.3,867.0,414.1,-5.89,-2.49,6.4,16.54
126,4.2,17,0,person,0.464,812.8,293.2,913.7,538.9,863.2,416.0,-3.79,1.88,4.23,4.37
127,4.233,17,0,person,0.545,811.2,291.6,907.5,525.2,859.3,408.4,-3.9,-7.61,8.55,-9.49
128,4.267,17,0,person,0.517,809.8,290.9,902.6,514.1,856.2,402.5,-3.14,-5.91,6.69,1.69
129,4.3,17,0,person,0.438,806.1,291.4,901.5,521.0,853.8,406.2,-2.39,3.69,4.4,9.6
130,4.333,17,0,person,0.43,804.8,291.7,897.6,514.6,851.2,403.2,-2.56,-3.02,3.95,-6.71
130,4.333,30,0,person,0.58,889.8,217.1,961.4,372.5,925.6,294.8,0.0,0.0,0.0,0.0
131,4.367,17,0,person,0.503,810.5,291.4,887.7,470.3,849.1,380.9,-2.16,-22.3,22.4,-19.28
131,4.367,30,0,person,0.582,885.4,217.2,956.7,372.1,921.1,294.6,-4.54,-0.16,4.55,-0.16
132,4.4,17,0,person,0.555,810.7,289.9,884.4,455.4,847.6,372.6,-1.53,-8.25,8.39,14.04
132,4.4,30,0,person,0.516,880.4,215.9,952.3,371.5,916.3,293.7,-4.75,-0.94,4.84,-0.78
133,4.433,17,0,person,0.559,806.2,287.6,883.7,456.5,844.9,372.1,-2.61,-0.55,2.67,7.7
133,4.433,30,0,person,0.644,880.4,213.8,952.6,370.8,916.5,292.3,0.19,-1.34,1.36,-0.4
133,4.433,31,2,car,0.606,11.8,353.5,493.1,574.0,252.5,463.8,0.0,0.0,0.0,0.0
134,4.467,17,0,person,0.676,801.1,285.1,877.6,446.9,839.3,366.0,-5.62,-6.07,8.27,-5.52
134,4.467,30,0,person,0.535,876.7,212.8,949.2,371.1,912.9,291.9,-3.57,-0.41,3.59,0.93
134,4.467,31,2,car,0.747,54.1,335.1,506.8,542.4,280.4,438.8,27.96,-25.0,37.51,-25.0
135,4.5,17,0,person,0.761,794.8,283.4,872.8,442.9,833.8,363.2,-5.53,-2.83,6.22,3.24
135,4.5,30,0,person,0.605,873.8,211.4,946.2,370.8,910.0,291.1,-2.93,-0.79,3.04,-0.38
135,4.5,31,2,car,0.887,77.5,323.9,519.4,526.4,298.4,425.2,17.97,-13.59,22.53,11.41
136,4.533,17,0,person,0.745,788.0,281.4,868.8,441.5,828.4,361.5,-5.39,-1.68,5.64,1.15
136,4.533,30,0,person,0.617,870.4,208.2,943.6,369.6,907.0,288.9,-3.0,-2.22,3.73,-1.44
136,4.533,31,2,car,0.45,132.8,309.4,551.4,502.1,342.1,405.8,43.67,-19.43,47.8,-5.83
137,4.567,17,0,person,0.754,782.5,281.4,866.1,441.6,824.3,361.5,-4.07,0.05,4.07,1.73
137,4.567,30,0,person,0.586,869.3,207.1,942.4,368.0,905.8,287.6,-1.19,-1.34,1.8,0.88
137,4.567,31,2,car,0.729,177.6,299.3,565.2,478.6,371.4,389.0,29.31,-16.78,33.78,2.64
138,4.6,17,0,person,0.755,777.9,280.0,865.0,441.2,821.5,360.6,-2.85,-0.89,2.99,-0.95
138,4.6,30,0,person,0.632,867.1,205.7,940.6,366.7,903.9,286.2,-1.96,-1.38,2.4,-0.04
138,4.6,31,2,car,0.905,204.2,287.1,572.9,458.0,388.6,372.6,17.16,-16.41,23.75,0.37
138,4.6,32,0,person,0.447,998.8,172.0,1145.6,457.6,1072.2,314.8,0.0,0.0,0.0,0.0
139,4.633,17,0,person,0.784,775.2,280.3,865.6,441.7,820.4,361.0,-1.07,0.37,1.14,1.27
139,4.633,30,0,person,0.57,866.2,205.4,940.6,366.2,903.4,285.8,-0.5,-0.37,0.62,1.01
139,4.633,31,2,car,0.906,231.0,271.8,588.6,438.1,409.8,354.9,21.26,-17.64,27.62,-1.22
140,4.667,17,0,person,0.794,774.0,282.2,867.3,443.3,820.7,362.8,0.28,1.77,1.79,1.4
140,4.667,30,0,person,0.53,865.7,206.5,940.7,365.2,903.2,285.9,-0.12,0.04,0.13,0.41
140,4.667,31,2,car,0.905,264.5,267.3,602.1,424.8,433.3,346.1,23.51,-8.85,25.12,8.79
141,4.7,17,0,person,0.766,773.5,284.4,869.0,445.3,821.3,364.8,0.57,2.06,2.13,0.29
141,4.7,31,2,car,0.834,286.2,264.9,609.9,416.3,448.1,340.6,14.74,-5.46,15.72,3.39
142,4.733,17,0,person,0.705,771.5,285.0,868.6,445.4,820.0,365.2,-1.2,0.34,1.25,-1.71
142,4.733,31,2,car,0.849,312.5,260.0,620.1,404.6,466.3,332.3,18.24,-8.3,20.04,-2.84
142,4.733,30,0,person,0.452,877.3,210.1,950.8,364.8,914.1,287.5,5.41,0.81,5.47,0.39
143,4.767,17,0,person,0.749,771.1,284.8,868.5,443.9,819.8,364.4,-0.25,-0.8,0.84,-1.15
143,4.767,31,2,car,0.821,340.2,255.8,627.1,391.3,483.7,323.5,17.36,-8.79,19.46,-0.49
143,4.767,30,0,person,0.594,879.6,210.0,953.9,365.7,916.7,287.8,2.68,0.33,2.7,-0.49
144,4.8,17,0,person,0.735,771.4,286.8,868.5,443.6,819.9,365.2,0.13,0.83,0.84,1.64
