frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
36,1.2,6,0,person,0.662,1205.8,36.5,1259.0,177.9,1232.4,107.2,-7.45,-2.73,7.93,0.06
37,1.233,1,0,person,0.864,859.4,127.5,1041.4,465.7,950.4,296.6,-4.61,4.91,6.73,1.34
37,1.233,9,28,box,0.611,498.0,106.3,858.7,352.9,678.4,229.6,-1.99,-2.41,3.12,-2.41
37,1.233,6,0,person,0.427,1212.6,34.8,1266.6,173.2,1239.6,104.0,7.22,-3.18,7.89,-0.45
38,1.267,1,0,person,0.871,858.5,127.9,1035.4,465.1,947.0,296.5,-3.44,-0.12,3.45,-5.03
38,1.267,9,28,box,0.448,498.4,105.2,862.0,354.0,680.2,229.6,1.82,-0.05,1.82,2.36
38,1.267,6,0,person,0.397,1207.9,32.9,1263.6,170.9,1235.7,101.9,-3.86,-2.08,4.39,1.1
38,1.267,10,6,train,0.335,0.0,8.0,1205.0,681.3,602.5,344.7,-0.57,-2.55,2.61,-1.27
39,1.3,1,0,person,0.836,857.4,128.1,1028.3,461.6,942.8,294.9,-4.13,-1.65,4.45,-1.53
39,1.3,6,0,person,0.757,1182.1,30.1,1244.6,168.3,1213.4,99.2,-22.38,-2.71,22.54,-0.62
40,1.333,1,0,person,0.853,857.2,127.3,1021.5,452.9,939.4,290.1,-3.46,-4.74,5.87,-3.09
40,1.333,6,0,person,0.592,1169.8,29.7,1238.0,167.1,1203.9,98.4,-9.46,-0.82,9.5,1.88
40,1.333,9,28,box,0.494,499.8,100.6,865.1,350.8,682.4,225.7,1.13,-1.93,2.23,-0.94
41,1.367,1,0,person,0.764,862.2,127.7,1014.9,434.4,938.5,281.0,-0.84,-9.09,9.13,-4.35
41,1.367,9,28,box,0.458,499.6,100.6,865.7,351.8,682.7,226.2,0.25,0.51,0.57,2.44
42,1.4,1,0,person,0.771,860.0,128.3,1014.0,443.4,937.0,285.9,-1.51,4.84,5.07,13.93
42,1.4,9,28,box,0.396,501.0,100.4,867.3,351.7,684.2,226.1,1.48,-0.15,1.48,-0.66
42,1.4,10,6,train,0.311,0.0,15.0,1195.5,678.6,597.7,346.8,-1.19,0.53,1.31,0.77
42,1.4,6,0,person,0.548,1165.5,28.6,1244.1,172.1,1204.8,100.3,0.44,0.97,1.06,0.89
43,1.433,1,0,person,0.791,859.3,128.7,1010.2,443.0,934.8,285.9,-2.28,-0.0,2.28,-4.84
43,1.433,9,28,box,0.332,498.8,100.7,863.6,351.0,681.2,225.8,-2.95,-0.22,2.96,-0.06
43,1.433,6,0,person,0.407,1151.1,25.6,1232.2,168.5,1191.6,97.0,-13.14,-3.3,13.55,-4.26
44,1.467,1,0,person,0.792,861.8,128.2,1004.3,428.3,933.0,278.3,-1.7,-7.61,7.8,-7.61
44,1.467,6,0,person,0.507,1143.9,23.0,1227.8,167.1,1185.9,95.1,-5.79,-1.98,6.12,1.32
45,1.5,1,0,person,0.795,860.1,127.5,1002.5,431.3,931.3,279.4,-1.76,1.14,2.1,8.75
45,1.5,6,0,person,0.523,1139.0,25.4,1220.7,163.9,1179.8,94.6,-6.04,-0.43,6.05,1.55
46,1.533,1,0,person,0.779,861.9,126.8,998.5,420.8,930.2,273.8,-1.1,-5.61,5.71,-6.75
46,1.533,6,0,person,0.62,1134.0,27.7,1213.9,161.9,1173.9,94.8,-5.88,0.17,5.88,0.6
46,1.533,9,28,box,0.334,491.3,98.3,853.7,347.1,672.5,222.7,-2.9,-1.05,3.08,-0.28
47,1.567,1,0,person,0.707,864.6,127.5,997.5,415.7,931.0,271.6,0.85,-2.2,2.36,3.41
47,1.567,6,0,person,0.719,1132.7,29.3,1213.3,162.7,1173.0,96.0,-0.91,1.18,1.49,1.01
47,1.567,9,28,box,0.312,488.3,97.9,852.0,348.2,670.2,223.0,-2.35,0.33,2.37,1.38
48,1.6,1,0,person,0.754,866.1,128.0,997.6,414.6,931.8,271.3,0.78,-0.3,0.84,1.9
48,1.6,6,0,person,0.731,1128.1,30.9,1207.8,162.5,1167.9,96.7,-5.08,0.69,5.12,-0.49
49,1.633,1,0,person,0.741,866.8,126.7,999.1,416.0,933.0,271.3,1.15,0.05,1.15,0.35
49,1.633,6,0,person,0.646,1126.5,30.6,1206.9,162.9,1166.7,96.8,-1.23,0.11,1.24,-0.58
50,1.667,1,0,person,0.747,867.3,126.1,999.7,416.7,933.5,271.4,0.54,0.05,0.55,-0.0
50,1.667,6,0,person,0.631,1125.8,30.6,1206.6,163.3,1166.2,96.9,-0.5,0.12,0.52,0.01
51,1.7,1,0,person,0.775,871.9,124.1,1007.7,422.8,939.8,273.4,6.31,2.04,6.63,2.0
52,1.733,1,0,person,0.836,879.6,122.9,1018.4,429.8,949.0,276.3,9.22,2.91,9.67,0.87
