frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
17,0.567,4,0,person,0.644,395.2,185.4,589.3,514.1,492.3,349.8,-2.39,-4.64,5.23,3.67
17,0.567,2,0,person,0.611,620.2,73.5,792.2,275.0,706.2,174.3,-0.21,-4.16,4.16,2.14
18,0.6,1,0,person,0.723,572.4,151.5,716.1,501.5,644.2,326.5,-2.43,0.06,2.43,2.03
18,0.6,4,0,person,0.731,392.8,183.2,585.0,513.7,488.9,348.5,-3.36,-1.33,3.61,3.32
18,0.6,2,0,person,0.72,616.4,68.9,791.4,274.0,703.9,171.5,-2.29,-2.82,3.63,1.34
19,0.633,1,0,person,0.658,570.1,150.6,714.2,506.1,642.1,328.3,-2.11,1.82,2.79,1.77
19,0.633,4,0,person,0.69,391.1,183.5,582.9,517.4,487.0,350.4,-1.88,1.96,2.72,3.29
19,0.633,2,0,person,0.503,613.3,68.9,790.9,276.8,702.1,172.8,-1.79,1.39,2.27,4.21
19,0.633,22,56,chair,0.331,332.1,350.6,514.6,522.8,423.3,436.7,0.0,0.0,0.0,0.0
20,0.667,1,0,person,0.626,569.5,154.9,712.4,511.7,640.9,333.3,-1.2,5.02,5.16,3.19
20,0.667,4,0,person,0.671,403.5,187.2,597.6,520.7,500.6,353.9,13.54,3.51,13.98,1.55
20,0.667,2,0,person,0.586,610.1,69.4,791.5,281.9,700.8,175.7,-1.29,2.82,3.1,1.43
21,0.7,1,0,person,0.681,570.6,159.1,712.6,518.1,641.6,338.6,0.71,5.27,5.32,0.26
21,0.7,4,0,person,0.721,395.5,198.2,586.0,529.5,490.8,363.8,-9.79,9.92,13.94,6.4
21,0.7,2,0,person,0.688,611.4,75.2,792.6,288.0,702.0,181.6,1.19,5.92,6.04,3.1
21,0.7,23,0,person,0.398,481.5,119.6,602.9,289.4,542.2,204.5,0.0,0.0,0.0,0.0
22,0.733,1,0,person,0.704,572.1,167.4,714.9,532.0,643.5,349.7,1.88,11.12,11.28,5.85
22,0.733,4,0,person,0.807,392.2,205.2,584.7,544.1,488.5,374.7,-2.27,10.81,11.04,0.89
22,0.733,2,0,person,0.654,615.0,84.7,796.0,297.7,705.5,191.2,3.51,9.63,10.25,3.71
22,0.733,23,0,person,0.401,483.9,128.0,607.2,300.3,545.5,214.2,3.3,9.67,10.22,9.67
22,0.733,22,56,chair,0.386,302.3,369.1,493.8,551.9,398.0,460.5,-8.43,7.94,11.58,2.65
23,0.767,1,0,person,0.616,576.4,181.3,717.1,546.6,646.8,363.9,3.24,14.22,14.58,3.09
23,0.767,4,0,person,0.664,390.1,215.4,582.2,558.4,486.1,386.9,-2.34,12.25,12.47,1.44
23,0.767,2,0,person,0.43,615.0,95.2,799.6,313.2,707.3,204.2,1.75,12.96,13.07,3.33
24,0.8,1,0,person,0.614,575.3,195.4,715.2,563.2,645.3,379.3,-1.5,15.38,15.46,1.17
24,0.8,4,0,person,0.741,385.9,229.3,579.1,578.4,482.5,403.9,-3.67,16.98,17.37,4.73
24,0.8,2,0,person,0.673,615.0,110.2,799.6,327.5,707.3,218.9,-0.01,14.71,14.71,1.75
25,0.833,1,0,person,0.712,563.5,206.1,705.8,582.5,634.7,394.3,-10.59,15.01,18.37,-0.37
25,0.833,4,0,person,0.728,377.2,247.0,570.4,600.3,473.8,423.6,-8.66,19.76,21.58,2.79
25,0.833,2,0,person,0.442,609.9,127.5,796.3,346.6,703.1,237.1,-4.16,18.19,18.66,3.47
26,0.867,1,0,person,0.735,553.2,221.2,697.0,602.3,625.1,411.7,-9.59,17.4,19.87,2.38
26,0.867,4,0,person,0.791,369.5,266.3,560.7,618.1,465.1,442.2,-8.7,18.52,20.46,-1.25
26,0.867,2,0,person,0.715,601.4,144.9,787.9,364.0,694.7,254.4,-8.43,17.38,19.32,-0.81
